subject,link,notes
BIOL,https://www.youtube.com/playlist?list=PLekhl8ZQS2PbLtpx03GUbTH5CKqPZA2r_,Professor Fink Human Anatomy Lectures
BIOL,https://www.youtube.com/playlist?list=PLUl4u3cNGP63LmSVIVzy584-ZbjbJ-Y63,"MIT 7.016 Introductory Biology, Fall 2018"
BIOL,https://www.youtube.com/playlist?list=PLw4_E5WmrJxsyaSJ4_w0gfKPQDq_St8Fg,Human Reproduction - Playlist | NEET Biology Lectures | Vedantu NEET Preparation | Dr. Vani Sood | Vedantu Biotonic
BUS,https://www.youtube.com/playlist?list=PLp-cIkvQ88-1g1O01aFPIqM_VdVpcNHRK,Yale Courses (Economics)
BUS,https://www.youtube.com/playlist?list=PLVRKQWHHTPX_XOD7efakiduqE6g5nddzL,Professor Aswath Damodaran Corporate Finance
BUS,https://www.youtube.com/playlist?list=PLauepKFT6DK8UA9aYhC-BWG4H4DuSPHV_,Professor Noel Cooperberg (Spring 2015) Accounting Information Systems
CHEM,https://www.youtube.com/playlist?list=PLUl4u3cNGP63z5HAguqleEbsICfHgDPaG,"MIT 3.091 Introduction to Solid-State Chemistry, Fall 2018"
CS,https://www.youtube.com/playlist?list=PLUl4u3cNGP61Oq3tWYp6V_F-5jb5L2iHb,"MIT 6.006 Introduction to Algorithms, Fall 2011"
CS,https://www.youtube.com/playlist?list=PLK_sH5jbkYciCyOTllsGyHVcHErHhtnZZ,M Benji Automata Theory
CS,https://www.youtube.com/playlist?list=PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6.0001 Introduction to Computer Science and Programming in Python. Fall 2016
CS,https://www.youtube.com/playlist?list=PLaLOVNqqD-2G-wzd21cJmjeaRVYbAsQGV,UC Berkeley: CS 170 - Algorithms (Fall 2014)
ENGL,https://www.youtube.com/playlist?list=PLD00D35CBC75941BD,Introduction to Theory of Literature with Paul H. Fry
ENGL,https://www.youtube.com/playlist?list=PLSH_xM-KC3Zv-79sVZTTj-YA6IAqh8qeQ,Brandon Sanderson 2020 Creative Writing Lectures at BYU
ENGL,https://www.youtube.com/playlist?list=PLLy_2iUCG87AuIWZ3qnjA1GriD-IGF3Za,Professor Binwod Mishra Effective Writing
ENGL,https://www.youtube.com/playlist?list=PLaLOVNqqD-2HhqQG1BxUaQr0GpG8oN0DV,Harvard: Shakespeare After All: The Later Plays
MATH,https://www.youtube.com/playlist?list=PLF797E961509B4EB5,Professor Leonard Calculus 1
MATH,https://www.youtube.com/playlist?list=PLNr8B4XHL5kGDHOrU4IeI6QNuZHur4F86,James Hamblin Linear Algebra Lectures
MATH,https://www.youtube.com/playlist?list=PLC292123722B1B450,Professor Leonard Intermediate Algebra
MATH,https://www.youtube.com/playlist?list=PL6807C4EE02859D1A,Courses: Calculus
MATH,https://www.youtube.com/playlist?list=PL590CCC2BC5AF3BC1,"MIT 18.01 Single Variable Calculus, Fall 2006"
MATH,https://www.youtube.com/playlist?list=PLaLOVNqqD-2GO9LGv7rMV_3-xkxrSs3ZO,NCSU: MA 241 - Calculus II
MATH,https://www.youtube.com/playlist?list=PLaLOVNqqD-2H-pJSZpgD1btCLHW-eB-06,Stony Brook: MAT 307 - Multivariable Calculus with Linear Algebra
MATH,https://www.youtube.com/playlist?list=PLaLOVNqqD-2Gob6v08bOcDns8NQ5uLGHe,UVU: College Algebra with Dennis Allison
POLI,https://www.youtube.com/playlist?list=PLp-cIkvQ88-3DJkwB4iUnoHP7mUG6jFsA,Yale Courses Political Science
POLI,https://www.youtube.com/playlist?list=PLh9mgdi4rNeyViG2ar68jkgEi4y6doNZy,Yale Courses Power and Politics in Todayâ€™s World
POLI,https://www.youtube.com/playlist?list=PLesgViD0jhW-Ydpei3GnpoUwUGbLg50-G,Krassimir Petrov Principles of Management
PSYCH,https://www.youtube.com/playlist?list=PLCHBxApHO4-Kt2ThDjuNYtcI2zgpUfAoC,Intro To Psychology - Spring 2017
PSYCH,https://www.youtube.com/playlist?list=PL6A08EB4EEFF3E91F,Introduction to Psychology with Paul Bloom
PSYCH,https://www.youtube.com/playlist?list=PL44ABC9278E2EE706,"MIT 9.00SC Introduction to Psychology, Fall 2011"
PSYCH,https://www.youtube.com/playlist?list=PL-irEQGC4gQcFeOnDmKKbrK9JBF5ArLxF,I/O PSYCH LECTURES
